,Game,Year,Genre,North America,Europe,Japan,Rest of World,Global
170,Rory McIlroy PGA Tour,2015.0,Sports,0.16,0.09,0.0,0.02,0.28
171,Assassin's Creed The Ezio Collection,2016.0,Action,0.13,0.12,0.0,0.02,0.27
172,LEGO The Hobbit,2014.0,Action-Adventure,0.13,0.13,0.0,0.02,0.27
173,Metal Gear Solid: Ground Zeroes,2014.0,Action-Adventure,0.13,0.13,0.0,0.02,0.27
174,Minecraft: Story Mode - Season Two,2017.0,Adventure,0.17,0.08,0.0,0.02,0.27
175,Skylanders Imaginators,2016.0,Platform,0.19,0.05,0.0,0.03,0.27
176,Friday the 13th: The Game,2017.0,Action,0.21,0.03,0.0,0.03,0.27
177,ReCore,2016.0,Action-Adventure,0.16,0.06,0.01,0.02,0.26
178,F1 2015,2015.0,Racing,0.09,0.15,0.0,0.02,0.25
179,L.A. Noire,2017.0,Adventure,0.14,0.09,0.0,0.02,0.25
180,Trials Fusion,2014.0,Racing,0.12,0.1,0.0,0.02,0.25
181,Call of Duty: Modern Warfare Remastered,2017.0,Shooter,0.16,0.06,0.0,0.02,0.24
182,Zumba Fitness: World Party,2013.0,Misc,0.17,0.05,0.0,0.02,0.24
183,Saints Row IV,2015.0,Action,0.13,0.09,0.0,0.02,0.24
184,Farming Simulator 2015,2015.0,Simulation,0.13,0.09,0.0,0.02,0.24
185,A Way Out,2018.0,Action,0.17,0.05,0.0,0.02,0.24
186,NBA Live 14,2013.0,Sports,0.19,0.02,0.0,0.02,0.24
187,Payday 2,2015.0,Shooter,0.14,0.07,0.0,0.02,0.23
188,DiRT 4,2017.0,Racing,0.11,0.1,0.0,0.02,0.23
189,NBA Live 15,2014.0,Sports,0.18,0.02,0.0,0.02,0.22
190,F1 2016 (Codemasters),2016.0,Racing,0.09,0.12,0.0,0.02,0.22
191,Deadpool,2015.0,Action,0.17,0.03,0.0,0.02,0.22
192,The Amazing Spider-Man 2 (2014),2014.0,Action-Adventure,0.12,0.08,0.0,0.02,0.22
193,Kingdom Come: Deliverance,2018.0,Role-Playing,0.14,0.06,0.0,0.02,0.22
194,Lords of the Fallen,2014.0,Role-Playing,0.1,0.1,0.0,0.02,0.22
195,Super Lucky's Tale,2017.0,Platform,0.13,0.07,0.0,0.02,0.22
196,DiRT Rally,2016.0,Racing,0.12,0.08,0.0,0.02,0.21
197,Just Dance 2018,2017.0,Music,0.15,0.04,0.0,0.02,0.21
198,Homefront: The Revolution,2016.0,Shooter,0.1,0.09,0.0,0.02,0.21
199,State of Decay,2015.0,Action-Adventure,0.14,0.05,0.0,0.02,0.21
200,NBA Live 18,2017.0,Sports,0.18,0.0,0.0,0.02,0.21
201,theHunter: Call of the Wild,2017.0,Shooter,0.18,0.0,0.0,0.02,0.21
202,Sleeping Dogs,2014.0,Action-Adventure,0.1,0.09,0.0,0.02,0.2
203,Project CARS 2,2017.0,Racing,0.01,0.18,0.0,0.01,0.2
204,Batman: Return to Arkham,2016.0,Action,0.12,0.06,0.0,0.02,0.2
205,Dishonored,2015.0,Action,0.13,0.05,0.0,0.02,0.19
206,One Piece: Burning Blood,2016.0,Fighting,0.11,0.07,0.0,0.02,0.19
207,Fantasia: Music Evolved,2014.0,Music,0.14,0.03,0.0,0.02,0.19
208,Mirror's Edge 2,2016.0,Platform,0.11,0.06,0.0,0.02,0.19
209,Dance Central: Spotlight,2016.0,Music,0.15,0.03,0.0,0.0,0.19
210,Naruto to Boruto: Shinobi Striker,2018.0,Action,0.17,0.0,0.0,0.02,0.19
211,XCOM 2,2016.0,Strategy,0.15,0.02,0.0,0.02,0.19
212,F1 2017,2017.0,Racing,0.04,0.13,0.0,0.01,0.19
213,Shape Up,2014.0,Sports,0.08,0.09,0.0,0.01,0.18
214,Cities: Skylines,2017.0,Simulation,0.13,0.03,0.0,0.02,0.18
215,Sniper: Ghost Warrior 3,2017.0,Shooter,0.11,0.05,0.0,0.02,0.18
216,Project Spark (Working Title),2014.0,Misc,0.11,0.05,0.0,0.02,0.17
217,Rush: A Disney Pixar Adventure,2017.0,Adventure,0.15,0.0,0.0,0.02,0.17
218,Fighter Within,2013.0,Fighting,0.08,0.07,0.0,0.01,0.17
219,Murdered: Soul Suspect,2014.0,Action-Adventure,0.08,0.07,0.0,0.01,0.17
220,Pac-Man Championship Edition 2 + Arcade Game Series,2016.0,Action,0.15,0.0,0.0,0.02,0.16
221,Angry Birds: Star Wars,2013.0,Puzzle,0.11,0.04,0.0,0.02,0.16
222,Little Nightmares,2017.0,Platform,0.12,0.03,0.0,0.02,0.16
223,The Walking Dead: Season One,2014.0,Adventure,0.08,0.06,0.0,0.01,0.16
224,Wolfenstein: The Old Blood,2015.0,Shooter,0.07,0.07,0.0,0.01,0.15
225,Pro Evolution Soccer 2015,2014.0,Sports,0.04,0.1,0.0,0.01,0.15
